"","구인인증번호","회사명","채용제목","임금형태","급여","최소임금액","최대임금액","지역","근무형태","최소학력","최대학력","경력","등록일자","마감일자","채용정보URL","근무지 우편주소","기본주소","상세주소","고용형태","직종코드","우대조건"
"1","K120032007020042","피치솔루션","IT기업 소프트웨어 개발자","월급","180만원","1800000","0","서울 금천구","주5일근무","학력무관","신입","20-07-02","20-07-15","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120032007020042","08590","서울특별시 금천구 가산디지털1로 70","호서대벤처타워 B105호","10","133100","13",NA
"2","K120612007020018","주식회사미래손","Applications Programmer 모집","월급","179만원","1795310","0","서울 금천구","주5일근무","대졸(2~3년)","신입","20-07-02","20-07-17","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120612007020018","153719","서울특별시 금천구 서부샛길 606","대성디폴리스 A동 1301호","10","133207","","대졸(4년)"
"3","K120612007020006","(주)앨에이치에스","(정규직) PHP 웹개발자 사원을 채용합니다.","연봉","2500만원","25000000","0","서울 금천구","주5일근무","학력무관","신입","20-07-02","채용시까지  20-08-31","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120612007020006","08511","서울특별시 금천구 디지털로9길 65","1406~1408호","10","133300","",NA
"4","K151632007010028","(주)노스트","소프트웨어 엔지니어 신규 채용","연봉","3000만원 ~ 3500만원","30000000","35000000","경기 성남시 분당구","주5일근무","대졸(4년)","신입","20-07-01","20-07-17","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151632007010028","13509","경기도 성남시 분당구 새나리로 25","전자부품연구원 창업보육센터 105,106,107호","10","133202","","석사"
"5","K151712007010033","주식회사아트","삼성반도체 IT 운영 인력 모집 [(주)아트]","연봉","2900만원 ~ 3000만원","29000000","30000000","경기 평택시","주6일근무","대졸(2~3년)","신입","20-07-01","20-07-24","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151712007010033","17786","경기도 평택시 고덕면 삼성1로 355","삼성전자 반도체사업부 평택캠퍼스 내","10","133202","","대졸(4년)"
"6","K120232006300003","크리스피드(주)","2020년 2기 웹개발, 자바 신입사원 채용","연봉","2900만원","29000000","0","서울 송파구","주5일근무","대졸(4년)","신입","20-06-30","20-07-12","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120232006300003","05836","서울특별시 송파구 법원로11길 25","B동 1001호","10","133301","13",NA
"7","K141212006290040","(주)무림지앤아이","소프트웨어 웹, 앱, 서버개발자 모집","연봉","2640만원","26400000","0","경기 안양시 동안구","주5일근무","대졸(4년)","신입","20-06-29","채용시까지  20-08-28","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K141212006290040","14067","경기도 안양시 동안구 시민대로248번길 25","502호","10","133201","",NA
"8","K120422006250027","넥시큐어 시스템 테크놀로지 주식회사","신입 JAVA 개발자 모집","연봉","2600만원 ~ 3000만원","26000000","30000000","서울 영등포구","주5일근무","대졸(2~3년)","신입","20-06-25","채용시까지  20-08-24","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120422006250027","150871","서울특별시 영등포구 국회대로68길 11","삼보호정빌딩 401호","10","133301","13","대졸(4년)"
"9","K151342006240008","(주)제이투에이치","[신입] (주)제이투에이치 전략기획부 웹기획 및 ...","연봉","2800만원","28000000","0","경기 안양시 동안구","주5일근무","대졸(4년)","신입","20-06-24","채용시까지  20-08-23","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151342006240008","14058","경기도 안양시 동안구 벌말로 66","","10","133302","",NA
"10","KF11022006230010","라이트비전 주식회사","컴퓨터비전 및 AI연구 개발자(신입)채용","연봉","2160만원 ~ 8400만원","21600000","84000000","서울 성동구","주5일근무","대졸(4년)","신입","20-06-23","채용시까지  20-08-22","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KF11022006230010","04793","서울특별시 성동구 성수일로12길 20","","10","133100","","박사"
"11","K140132006220030","(주)반비","[신입] 당구인의 필수 앱 비쿠의 서비스 기획자를...","월급","179만원 ~ 179만원","1795310","1795310","서울 서초구","주5일근무","학력무관","신입","20-06-22","채용시까지  20-08-18","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140132006220030","06650","서울특별시 서초구 서초대로50길 104","코랜드 빌딩 2층","20","133207","13",NA
"12","KJKP002006220010","엔에이치(주)","프로그램, 기계조립,설계 직원 모집","연봉","4000만원","40000000","0","경기 안산시 단원구","주5일근무","학력무관","신입","20-06-22","20-07-15","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJKP002006220010","425852","경기도 안산시 단원구 산단로 296","대우테크노피아503호","20","133101","",NA
"13","K120612006220014","(주)코어브레인","웹, 모바일 개발자 모집","연봉","2200만원 ~ 2500만원","22000000","25000000","서울 금천구","주5일근무","대졸(2~3년)","신입","20-06-22","20-07-06","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120612006220014","08595","서울특별시 금천구 범안로 1126","1103호","10","133300","","대졸(4년)"
"14","K120612006190017","(주)신나는플랫폼","신나게 함께할 신입 Java개발자 채용","연봉","2500만원","25000000","0","서울 구로구","주5일근무","학력무관","신입","20-06-19","20-07-31","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120612006190017","152848","서울특별시 구로구 디지털로26길 123","909호","10","133200","",NA
"15","K151632006180001","트라텍정보통신(주)","IOT 시스템 프로그램 개발 및 운영 유지보수","연봉","2160만원 ~ 2200만원","21600000","22000000","경기 성남시 중원구","주5일근무","학력무관","신입","20-06-18","채용시까지  20-08-16","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151632006180001","13403","경기도 성남시 중원구 둔촌대로 388","","10","133301","13",NA
"16","K120612006160034","마이솔루션","프로그램 개발자 채용(MES 솔루션 개발자).NE...","연봉","2200만원","22000000","0","서울 금천구","주5일근무","학력무관","신입","20-06-16","채용시까지  20-08-15","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120612006160034","08591","서울특별시 금천구 가산디지털1로 2","우림라이온스밸리2차 208호","10","133200","",NA
"17","K151822006120016","소무나 주식회사","배터리분야 펌웨어 임베디드개발자[IoT] 모집","연봉","2200만원 ~ 2400만원","22000000","24000000","서울 종로구","주5일근무","학력무관","신입","20-06-12","채용시까지  20-08-04","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151822006120016","03187","서울특별시 종로구 종로 6","6층 스타트업빌리지 소무나(주)","10","133102","13|B",NA
"18","K120612006120002","(주)한일프로텍","차량 통신(네트워크) 프로토콜 신뢰성 검증 및 환...","연봉","2800만원 ~ 3000만원","28000000","30000000","서울 구로구","주5일근무","대졸(4년)","신입","20-06-12","채용시까지  20-08-10","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120612006120002","08390","서울특별시 구로구 디지털로 288","3층 (대륭포스트타워1차)","10","133900","13","석사"
"19","K120612006100035","상상스토리(주)","[정규직] JAVA /JSP 신입 개발자 채용","연봉","2300만원 ~ 2400만원","23000000","24000000","서울 구로구","주5일근무","대졸(4년)","신입","20-06-10","20-07-04","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120612006100035","08390","서울특별시 구로구 디지털로 288","대륭포스트타워1차 2006호","10","133201","12|13","석사"
"20","K151632006090008","테러블 스튜디오","신입 모바일 앱 개발자 모집","시급","9000원","9000","0","경기 성남시 수정구","주5일근무","학력무관","신입","20-06-09","20-07-03","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151632006090008","13646","경기도 성남시 수정구 위례광장로 9-9","","20","133207","",NA
"21","K120122006080026","현대엔지니어링(주)","(장애/보훈 채용) 현대엔지니어링 사무보조(IT기...","연봉","2900만원 ~ 2950만원","29000000","29500000","서울 종로구","주5일근무","대졸(2~3년)","신입","20-06-08","20-07-19","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120122006080026","03058","서울특별시 종로구 율곡로 75","","20","133101","","박사"
"22","K151422006080029","주식회사 오모로봇","하드웨어 개발자 모집 (신입)","연봉","2400만원 ~ 3500만원","24000000","35000000","경기 안산시 상록구","주5일근무","학력무관","신입","20-06-08","채용시까지  20-08-04","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151422006080029","15588","경기도 안산시 상록구 한양대학로 55","한양대학교 창업보육센터 304호","10","133102","",NA
"23","K120312005190027","고려공업검사(주)","고려공업검사 기술연구소 정규직 신입 연구원 채용","연봉","2400만원","24000000","0","서울 용산구","주5일근무","대졸(2~3년)","신입","20-05-19","채용시까지  20-07-18","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120312005190027","140829","서울특별시 용산구 청파로89길 4-12","고려공업검사(주)","10","133100","12","석사"
"24","K120142005140016","(주)케이씨에이","㈜케이씨에이 정보보안, 컨설팅, SQA 분야 신입...","연봉","2500만원","25000000","0","서울 서초구","주5일근무","초졸이하","신입","20-05-14","20-07-13","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120142005140016","06502","서울특별시 서초구 신반포로 27-12","","10","135000","13",NA
"25","K151342005120019","주식회사 네오피스","주식회사 네오피스와 개발업무(SW)를 함께할 인재...","연봉","2800만원","28000000","0","경기 안양시 만안구","주5일근무","대졸(4년)","신입","20-05-12","채용시까지  20-07-11","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151342005120019","14086","경기도 안양시 만안구 전파로24번길 47","네오빌딩","10","153202","","석사"
"26","K151422005080012","코리아 이매지니어링","계측 및 제어 엔지니어(SW/HW) 신입","연봉","2800만원 ~ 3200만원","28000000","32000000","경기 안산시 단원구","주5일근무","대졸(2~3년)","신입","20-05-08","채용시까지  20-07-07","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K151422005080012","15426","경기도 안산시 단원구 산단로 341","226호","10","153206","","석사"
"27","K120422005040023","주식회사 옥퀘스트","인공지능 기반 뷰티&헬스케어 토털 서비스 전문 회...","월급","200만원 ~ 500만원","2000000","5000000","서울 양천구","주5일근무","고졸","신입","20-05-04","20-07-03","http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K120422005040023","07953","서울특별시 양천구 목동중앙본로 95","3층 44호(목동)","10","133200","13","석사"
